Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Liberia,LBR,..,4.5,3.63,3.63,3.68,3.68,3.64,3.64,2.86,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Libya,LBY,..,0.007,0.009,0.011,0.01,0.008,0.008,0.008,0.012,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Lithuania,LTU,..,11.5,14.96,14.17,13.03,12.29,11.79,11.79,12.1,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Luxembourg,LUX,..,13.65,11.76,11.71,11.66,11.58,11.53,11.53,10.82,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Madagascar,MDG,..,1.46,1.01,1.01,1,1.02,1.02,1.02,0.99,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Malawi,MWI,..,3,3.58,3.37,3.19,3.13,3.24,3.24,3.61,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Malaysia,MYS,..,0.62,0.63,0.65,0.69,0.73,0.76,0.76,0.74,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Maldives,MDV,..,1.75,1.39,1.35,1.32,1.35,1.43,1.43,1.49,..,..,..
